Year,Deforestation,Latitude,Longitude
2004,728,-9.070003236,-68.66997929
2005,592,-9.070003236,-68.66997929
2006,398,-9.070003236,-68.66997929
2007,184,-9.070003236,-68.66997929
2008,254,-9.070003236,-68.66997929
2009,167,-9.070003236,-68.66997929
2010,259,-9.070003236,-68.66997929
2011,280,-9.070003236,-68.66997929
2012,305,-9.070003236,-68.66997929
2013,221,-9.070003236,-68.66997929
2014,309,-9.070003236,-68.66997929
2015,264,-9.070003236,-68.66997929
2016,372,-9.070003236,-68.66997929
2017,257,-9.070003236,-68.66997929
2018,444,-9.070003236,-68.66997929
2019,688,-9.070003236,-68.66997929
2004,1232,-3.289580873,-60.6199797
2005,775,-3.289580873,-60.6199797
2006,788,-3.289580873,-60.6199797
2007,610,-3.289580873,-60.6199797
2008,604,-3.289580873,-60.6199797
2009,405,-3.289580873,-60.6199797
2010,595,-3.289580873,-60.6199797
2011,502,-3.289580873,-60.6199797
2012,523,-3.289580873,-60.6199797
2013,583,-3.289580873,-60.6199797
2014,500,-3.289580873,-60.6199797
2015,712,-3.289580873,-60.6199797
2016,1129,-3.289580873,-60.6199797
2017,1001,-3.289580873,-60.6199797
2018,1045,-3.289580873,-60.6199797
2019,1421,-3.289580873,-60.6199797
2004,46,-0.039598369,-51.17998743
2005,33,-0.039598369,-51.17998743
2006,30,-0.039598369,-51.17998743
2007,39,-0.039598369,-51.17998743
2008,100,-0.039598369,-51.17998743
2009,70,-0.039598369,-51.17998743
2010,53,-0.039598369,-51.17998743
2011,66,-0.039598369,-51.17998743
2012,27,-0.039598369,-51.17998743
2013,23,-0.039598369,-51.17998743
2014,31,-0.039598369,-51.17998743
2015,25,-0.039598369,-51.17998743
2016,17,-0.039598369,-51.17998743
2017,24,-0.039598369,-51.17998743
2018,24,-0.039598369,-51.17998743
2019,8,-0.039598369,-51.17998743
2004,755,-5.809995505,-46.14998438
2005,922,-5.809995505,-46.14998438
2006,674,-5.809995505,-46.14998438
2007,631,-5.809995505,-46.14998438
2008,1271,-5.809995505,-46.14998438
2009,828,-5.809995505,-46.14998438
2010,712,-5.809995505,-46.14998438
2011,396,-5.809995505,-46.14998438
2012,269,-5.809995505,-46.14998438
2013,403,-5.809995505,-46.14998438
2014,257,-5.809995505,-46.14998438
2015,209,-5.809995505,-46.14998438
2016,258,-5.809995505,-46.14998438
2017,265,-5.809995505,-46.14998438
2018,253,-5.809995505,-46.14998438
2019,215,-5.809995505,-46.14998438
2004,11814,-15.65001504,-56.14002059
2005,7145,-15.65001504,-56.14002059
2006,4333,-15.65001504,-56.14002059
2007,2678,-15.65001504,-56.14002059
2008,3258,-15.65001504,-56.14002059
2009,1049,-15.65001504,-56.14002059
2010,871,-15.65001504,-56.14002059
2011,1120,-15.65001504,-56.14002059
2012,757,-15.65001504,-56.14002059
2013,1139,-15.65001504,-56.14002059
2014,1075,-15.65001504,-56.14002059
2015,1601,-15.65001504,-56.14002059
2016,1489,-15.65001504,-56.14002059
2017,1561,-15.65001504,-56.14002059
2018,1490,-15.65001504,-56.14002059
2019,1685,-15.65001504,-56.14002059
2004,8870,-1.190019105,-47.17999903
2005,5899,-1.190019105,-47.17999903
2006,5659,-1.190019105,-47.17999903
2007,5526,-1.190019105,-47.17999903
2008,5607,-1.190019105,-47.17999903
2009,4281,-1.190019105,-47.17999903
2010,3770,-1.190019105,-47.17999903
2011,3008,-1.190019105,-47.17999903
2012,1741,-1.190019105,-47.17999903
2013,2346,-1.190019105,-47.17999903
2014,1887,-1.190019105,-47.17999903
2015,2153,-1.190019105,-47.17999903
2016,2992,-1.190019105,-47.17999903
2017,2433,-1.190019105,-47.17999903
2018,2744,-1.190019105,-47.17999903
2019,3862,-1.190019105,-47.17999903
2004,3858,-11.64002724,-61.20999536
2005,3244,-11.64002724,-61.20999536
2006,2049,-11.64002724,-61.20999536
2007,1611,-11.64002724,-61.20999536
2008,1136,-11.64002724,-61.20999536
2009,482,-11.64002724,-61.20999536
2010,435,-11.64002724,-61.20999536
2011,865,-11.64002724,-61.20999536
2012,773,-11.64002724,-61.20999536
2013,932,-11.64002724,-61.20999536
2014,684,-11.64002724,-61.20999536
2015,1030,-11.64002724,-61.20999536
2016,1376,-11.64002724,-61.20999536
2017,1243,-11.64002724,-61.20999536
2018,1316,-11.64002724,-61.20999536
2019,1245,-11.64002724,-61.20999536
2004,311,1.816231505,-61.12767481
2005,133,1.816231505,-61.12767481
2006,231,1.816231505,-61.12767481
2007,309,1.816231505,-61.12767481
2008,574,1.816231505,-61.12767481
2009,121,1.816231505,-61.12767481
2010,256,1.816231505,-61.12767481
2011,141,1.816231505,-61.12767481
2012,124,1.816231505,-61.12767481
2013,170,1.816231505,-61.12767481
2014,219,1.816231505,-61.12767481
2015,156,1.816231505,-61.12767481
2016,202,1.816231505,-61.12767481
2017,132,1.816231505,-61.12767481
2018,195,1.816231505,-61.12767481
2019,617,1.816231505,-61.12767481
2004,158,-6.319576804,-47.41998438
2005,271,-6.319576804,-47.41998438
2006,124,-6.319576804,-47.41998438
2007,63,-6.319576804,-47.41998438
2008,107,-6.319576804,-47.41998438
2009,61,-6.319576804,-47.41998438
2010,49,-6.319576804,-47.41998438
2011,40,-6.319576804,-47.41998438
2012,52,-6.319576804,-47.41998438
2013,74,-6.319576804,-47.41998438
2014,50,-6.319576804,-47.41998438
2015,57,-6.319576804,-47.41998438
2016,58,-6.319576804,-47.41998438
2017,31,-6.319576804,-47.41998438
2018,25,-6.319576804,-47.41998438
2019,21,-6.319576804,-47.41998438