,Food exports (% of merchandise exports),GDP (constant 2010 US$),GDP per capita (constant 2010 US$),Forest area (sq. km),"Goods exports (BoP, current US$)","Net trade in goods and services (BoP, current US$)","Imports of goods and services (BoP, current US$)",Forest area (% of land area),"International tourism, number of arrivals","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment with advanced education, male (% of male labor force with advanced education)",GNI (current US$),Gross capital formation (% of GDP),Gross domestic savings (% of GDP),Arable land (hectares),"Unemployment, male (% of male labor force) (modeled ILO estimate)",Gross domestic income (constant LCU),Adjusted net national income (constant 2010 US$),GDP (current LCU),Exports of goods and services (current US$),Food imports (% of merchandise imports),"International tourism, receipts for travel items (current US$)",Imports of goods and services (% of GDP),"Total debt service (% of exports of goods, services and primary income)",Agricultural land (% of land area),"Inflation, consumer prices (annual %)",Trade (% of GDP),GDP per capita growth (annual %),Gross fixed capital formation (annual % growth),Exports of goods and services (% of GDP),S&P Global Equity Indices (annual % change),Trade in services (% of GDP),Broad money (current LCU),GDP per capita growth (annual %),Total Deforestation
2004,27.88167142,1.72E+12,9346.039343,5352854.4,96240639253,28989514786,78995242018,64.04360779,4794000,9.109999657,2.960000038,6.5E+11,17.91256834,21.32583889,47756000,7.019999981,2.95E+12,1.39E+12,1.96E+12,1.11E+11,4.821990322,3222000000,13.13249097,48.3562271,27.36712953,6.5971851,29.67825248,4.497077078,8.486963396,16.54576151,33.68000031,4.241827304,1.1E+12,4.497077078,27772
2005,25.6748714,1.77E+12,9535.41883,5313346.5,1.18E+11,36394274085,96610925191,63.57092009,5358000,9.569999695,3.230000019,8.66E+11,17.20488348,20.6057468,48333000,7.380000114,3.04E+12,1.43E+12,2.17E+12,1.36E+11,4.361097109,3861000000,11.84296594,46.18653099,27.3795366,6.869537209,27.08679521,2.026307404,1.956300915,15.24382927,47.64370263,4.311990047,1.31E+12,2.026307404,19014
2006,24.91996487,1.85E+12,9805.724506,5273838.6,1.38E+11,36804240761,1.19E+11,63.09823238,5017000,8.640000343,2.549999952,1.08E+12,17.8164739,20.52340662,48914000,6.619999886,3.19E+12,1.5E+12,2.41E+12,1.59E+11,4.483008047,4316000000,11.66738358,38.24854708,27.39257777,4.183568129,26.04169988,2.834754095,6.660788334,14.3743163,43.06659438,4.211154202,1.52E+12,2.834754095,14286
2007,26.22186074,1.96E+12,10293.53034,5234330.7,1.61E+11,26812962157,1.58E+11,62.62554468,5026000,8.329999924,3.079999924,1.37E+12,19.81932597,21.18206481,49537000,6.25,3.38E+12,1.58E+12,2.72E+12,1.86E+11,4.604833317,4953000000,11.96493627,28.0520816,27.47881706,3.641272991,25.29261137,4.974704674,11.9524079,13.3276751,74.67163349,4.375338224,1.86E+12,4.974704674,11651
2008,27.43386763,2.06E+12,10710.87222,5194822.8,1.98E+11,8145874251,2.2E+11,62.15285698,5050000,7.340000153,2.829999924,1.65E+12,21.61938284,21.42981444,50159000,5.420000076,3.57E+12,1.65E+12,3.11E+12,2.3E+11,4.373091562,5785000000,13.72356891,23.47129961,27.56505634,5.678593903,27.25756942,4.054409568,12.28695793,13.53400051,-57.17826924,4.575410263,2.19E+12,4.054409568,12911
2009,33.89058861,2.05E+12,10594.98659,5155314.9,1.53E+11,6025626300,1.75E+11,61.68016927,4802000,8.520000458,3.039999962,1.63E+12,18.79613505,18.39290171,50782000,6.400000095,3.57E+12,1.74E+12,3.33E+12,1.81E+11,5.257835832,5305000000,11.25460447,23.4889426,27.65129562,4.888034799,22.1059756,-1.081943896,-2.133874832,10.85137113,125.1100585,4.481199919,2.54E+12,-1.081943896,7464
2010,30.12939254,2.21E+12,11286.24302,5115807,2.01E+11,-11665299050,2.44E+11,61.20748157,5161000,7.730000019,,2.14E+12,21.80132157,20.76033874,51405000,5.619999886,3.89E+12,1.83E+12,3.89E+12,2.4E+11,4.623173661,5261000000,11.90659334,18.3752189,27.73753491,5.038726901,22.77217811,6.524372804,17.85392143,10.86558477,6.500411694,4.142357484,2.88E+12,6.524372804,7000
2011,30.22550299,2.3E+12,11627.81065,5100415.2,2.56E+11,-9541405570,3.02E+11,61.02332816,5433000,6.920000076,2.460000038,2.55E+12,21.82627609,21.0568504,52027000,5.090000153,4.07E+12,1.92E+12,4.38E+12,3.03E+11,4.541879632,6095000000,12.35189532,18.73044658,27.82377419,6.636449622,23.93441065,3.026406873,6.833268893,11.58251532,-24.41433068,4.247789952,3.36E+12,3.026406873,6418
2012,31.83922908,2.34E+12,11745.77593,5085023.4,2.42E+11,-22748530632,3.04E+11,60.83917474,5677000,7.190000057,0.600000024,2.4E+12,21.41722537,20.05802989,52650000,5.809999943,4.13E+12,1.97E+12,4.81E+12,2.93E+11,4.761429016,6378000000,13.23673454,15.66030076,27.91001347,5.40349914,25.11429438,1.014509775,0.779095101,11.87755984,-0.269773967,4.778567249,3.81E+12,1.014509775,4571
2013,33.92431888,2.41E+12,11993.48398,5069631.6,2.42E+11,-45983605444,3.26E+11,60.65502133,5813000,6.980000019,0.569999993,2.44E+12,21.69376694,19.39228966,53272000,5.659999847,4.24E+12,2.06E+12,5.33E+12,2.9E+11,4.885521048,6474000000,14.04374544,28.00224868,27.99625275,6.204310666,25.78597608,2.108911835,5.827338408,11.74223064,-19.13934885,4.949567334,4.19E+12,2.108911835,5891
2014,35.02673419,2.42E+12,11951.20945,5054239.8,2.24E+11,-54736046613,3.19E+11,60.47086792,6430000,6.659999847,0.910000026,2.41E+12,20.54841076,17.88689058,53895000,5.590000153,4.25E+12,2.05E+12,5.78E+12,2.7E+11,4.905741177,6843000000,13.673463,22.89775208,28.08249204,6.329040155,24.68540582,-0.352479218,-4.224059105,11.01194282,-18.37772391,5.213266051,4.73E+12,-0.352479218,5012
2015,37.13849959,2.34E+12,11431.15448,5038848,1.9E+11,-19260791207,2.43E+11,60.28671451,6306000,8.430000305,4.25,1.77E+12,17.41164254,16.25838276,54518000,7.210000038,4.06E+12,1.99E+12,6E+12,2.32E+11,5.161010094,5844000000,14.0534512,39.7320404,28.16873132,9.029901024,26.95364262,-4.351483989,-13.94679228,12.90019142,-44.29807951,5.800156917,5.28E+12,-4.351483989,6207
2016,36.70895858,2.26E+12,10965.97426,5020821,1.84E+11,14188038177,2.03E+11,60.07103255,6547000,11.60000038,5.369999886,1.76E+12,14.96954698,15.36922299,55140000,10.21000004,3.92E+12,1.93E+12,6.27E+12,2.24E+11,7.403929127,6024000000,12.06701899,50.98994287,28.2549706,8.739143523,24.53369803,-4.069407164,-12.1295915,12.46667904,62.56864036,5.404430156,5.88E+12,-4.069407164,7893
2017,35.64429638,2.29E+12,11021.71826,5000916,2.18E+11,26032202249,2.27E+11,59.83288148,6589000,12.81999969,5.699999809,2.02E+12,14.63038628,15.34882329,55762000,11.36999989,3.99E+12,1.95E+12,6.58E+12,2.58E+11,6.587990128,5809000000,11.80463836,34.60547388,28.34106631,3.44637335,24.32771373,0.508336054,-2.557019893,12.52307537,22.589441,5.181424379,6.13E+12,0.508336054,6947
2018,33.66131517,2.32E+12,11079.70968,4990514,2.4E+11,17313066437,2.58E+11,59.70842795,6621000,12.32999992,5.630000114,1.83E+12,14.82937141,15.21098864,55762000,10.86999989,4.04E+12,1.94E+12,6.89E+12,2.81E+11,5.639070585,5921000000,14.50808266,33.14587878,28.34109036,3.664850284,29.39778256,0.526155826,3.907507872,14.88969989,-4.450709794,5.654425426,6.56E+12,0.526155826,7536
2019,33.8736469,2.35E+12,11121.73992,,2.26E+11,5406792771,2.55E+11,,6353000,11.93000031,5.510000229,1.79E+12,15.11296848,14.78118253,,10.19999981,4.09E+12,,7.26E+12,2.63E+11,5.764058834,5995000000,14.65420479,53.22701879,,3.732976212,28.97662365,0.379344236,2.244185965,14.32241885,25.99849543,5.63573825,7.1E+12,0.379344236,9762